title,location,Price,Rating
bedouin city camp & tours,Wadi Rum,JOD9,4
City Citadel Hotel,Amman,JOD30,2
Petra Desert Dream Hotel,Wadi Musa,JOD45,3
Petra Cabin Hostel,Wadi Musa,JOD16,1
Hotel Prestige,Aqaba,JOD20,5
Desert bedouin adventures,Wadi Rum,JOD11,0
Bedouin Lifestyle Camp,Wadi Rum,JOD12,5
Wadi Rum Camp& Jeep Tour,Wadi Rum,JOD19,5
Bedouin host camp& with tour,Wadi Rum,JOD1,1
Wadi Rum Fire Camp,Wadi Rum,JOD4,0
Rum Stars camp,Wadi Rum,JOD15,3
Wadi Rum Desert Adventures,Wadi Rum,JOD18,4
Bedouin Tours Camp,Wadi Rum,JOD20,5
Wadi Rum Magic Nature Camp,Wadi Rum,JOD29,4
La Casa Hotel - Amman by FHM,Amman,JOD51,4
Margarita Hotel,Amman,JOD30,3
My Luxury Hotel,Aqaba,JOD75,4
Rahayeb Desert Camp,Wadi Rum,JOD71,3
Desert shine camp,Wadi Rum,JOD16,5
Wadi Rum Desert Home,Wadi Rum,JOD22,0
Desert Rose Camp,Wadi Rum,JOD17,5
Wadi Rum Moon Camp,Wadi Rum,JOD8,0
Martian desert Camp,Wadi Rum,JOD20,0
Red planet adventures camp,Wadi Rum,JOD7,0
"The Blue House ""Gerasa""",Jerash,JOD23,1
Bedouin Nights Camp,Wadi Rum,JOD20,2
Moon city camp,Wadi Rum,JOD6,1
Nights Dreams Camp & tours,Wadi Rum,JOD18,3
Mohammed Mutlak Camp,Wadi Rum,JOD14,4
Ajnadeen Hotel,Irbid,JOD35,2
Star Walk Camp & Tours,Wadi Rum,JOD18,4
Ruins Wall Hotel&Hostel - Ruins View,Jerash,JOD27,4
Desert guide camp,Wadi Rum,JOD40,3
Florist Camp,Wadi Rum,JOD4,5
Wadi Rum Jordan Camp,Wadi Rum,JOD16,3
Sandy Palace Hotel,Amman,JOD45,4
Little Petra Bedouin Camp,Al Ḩayy,JOD40,5
Wadi Rum Legend camp,Wadi Rum,JOD60,5
Wadi Rum Cave Camp &Jeep Tour,Wadi Rum,JOD33,3
Petra Nights Hotel,Wadi Musa,JOD32,3
Wadi Rum Sky Tours & Camp,Wadi Rum,JOD12,4
Wadi Rum Beduland Camp,Wadi Rum,JOD16,4
Malakot Inn,Al Quwayrah,JOD30,3
Strand Hotel Jordan,Amman,JOD45,4
The Conroy Boutique Hotel,Amman,JOD38,3
Petra Plaza Hotel,Wadi Musa,JOD47,4
Fairmont Amman,Amman,JOD155,5
New MerryLand Hotel,Amman,JOD42,3
Zaina Plaza Hotel,Amman,JOD25,2
Wadi Rum Desert Heart Camp,Wadi Rum,JOD1,3
Nomads Hotel Petra,Wadi Musa,JOD44,3
Candles Camp,Wadi Rum,JOD25,0
Harir Palace Hotel,Amman,JOD61,4
Amman Pasha Hotel,Amman,JOD26,2
Dar Gerasa Chalets,Jerash,JOD95,3
"InterContinental Jordan, an IHG Hotel",Amman,JOD130,5
Hilton Dead Sea Resort & Spa,Sowayma,JOD138,5
Panorama Amman Hotel,Amman,JOD28,3
Toledo Amman Hotel,Amman,JOD57,4
"Al Manara, a Luxury Collection Hotel, Aqaba",Aqaba,JOD270,5
Ata Ali Hotel,Wadi Musa,JOD47,3
Dweik Hotel 2,Aqaba,JOD28,3
DoubleTree by Hilton Hotel Aqaba,Aqaba,JOD80,5
Nahas Plaza,Irbid,JOD48,5
Pilgrim's Guest House,Madaba,JOD34,2
Petra Heart Hotel,Wadi Musa,JOD61,3
Lijam Hotel,Amman,JOD47,4
Petra Sky Hotel,Wadi Musa,JOD43,3
Dead Sea Marriott Resort & Spa,Sowayma,JOD159,5
Geneva Hotel,Amman,JOD56,4
Al Zaitouna Hotel,Aqaba,JOD38,3
Naylover Hotel Suites,Amman,JOD34,2
Joy of Life - Wadi Rum Camp,Wadi Rum,JOD53,2
Mövenpick Hotel Amman,Amman,JOD85,5
Holyland Hotel,Amman,JOD38,3
Valentine Inn Luxury,Wadi Musa,JOD18,3
Grand Hyatt Amman,Amman,JOD99,5
"Holiday Inn Resort Dead Sea, an IHG Hotel",Sowayma,JOD120,5
Hyatt Regency Aqaba Ayla Resort,Aqaba,JOD230,5
Viola Hotel Suites,Amman,JOD44,3
Wadi Rum Nature Tours And Camp,Wadi Rum,JOD30,0
Ream Hotel Amman,Amman,JOD45,3
Sulaf Luxury Hotel,Amman,JOD71,4
Virginia Hotel,Amman,JOD29,3
Tilal Almadina Hotel & Suites,Amman,JOD49,3
Quiet Bedouin Village Camp,Wadi Rum,JOD7,0
Abjar Hotel,Amman,JOD48,3
Century Park Hotel,Amman,JOD42,4
Wadi Rum Quiet Village Camp,Wadi Rum,JOD30,5
Desert Moon Camp,Wadi Rum,JOD12,0
Amro Petra Apartment,Wadi Musa,JOD30,2
Grand Hotel Amman,Amman,JOD88,5
Arena Desert Camp & Adventurers,Wadi Rum,JOD43,5
Petra Corner Hotel,Wadi Musa,JOD65,3
Petra Sofsaf Hotel,Wadi Musa,JOD46,2
Kempinski Hotel Amman,Amman,JOD93,5
Amra Palace International Hotel,Wadi Musa,JOD47,3
Khuttar Apartment,Amman,JOD42,2
Zeina Desert Lodge,Wadi Rum,JOD77,5
Bedouin Garden Village,Aqaba,JOD45,3
Bedouin Experience Camp,Wadi Rum,JOD14,5
Wadi Rum Camp & Tours,Wadi Rum,JOD23,5
Easy Inn Hotel Suites,Amman,JOD38,3
Sama Paris Hotel,Amman,JOD33,3
Bristol Hotel,"Abdoun, Amman",JOD78,5
Mövenpick Resort & Spa Tala Bay Aqaba,Aqaba,JOD245,5
Petra View Hostel,Wadi Musa,JOD83,1
AlQasr Metropole Hotel,Amman,JOD78,4
"InterContinental Aqaba, an IHG Hotel",Aqaba,JOD220,5
MENA Tyche Hotel Amman,Amman,JOD70,4
Tetra Tree Hotel,Wadi Musa,JOD41,4
Jamal Rum Camp,Wadi Rum,JOD20,0
Yafko Hotel,Aqaba,JOD40,3
Artal Hotel,Amman,JOD50,3
Aqaba Adventure Divers Village,Aqaba,JOD45,3
Nairoukh Hotel Aqaba,Aqaba,JOD39,4
سما عمان للشقق الفندقية Sama Amman,Amman,JOD52,3
Margarita Furnished Apartments,Amman,JOD40,4
"Crowne Plaza Amman, an IHG Hotel",Amman,JOD99,5
Wadi Rum Golden Sands Camp,Wadi Rum,JOD10,4
Janty Apartments,Amman,JOD86,5
Obeid's Bedouin Life Camp,Wadi Rum,JOD29,0
Four Seasons Hotel Amman,Amman,JOD190,5
Khalid's Beduin Authentic Camp,Wadi Rum,JOD18,2
Amman Marriott Hotel,Amman,JOD91,5
Petra Wassaif Camp,Wadi Musa,JOD40,1
Downtown Hotel Apartments,Amman,JOD68,4
Shams Alweibdeh Hotel Apartments,Amman,JOD60,3
Mövenpick Resort Petra,Wadi Musa,JOD293,5
"Crowne Plaza Jordan Dead Sea Resort & Spa, an IHG Hotel",Sowayma,JOD145,5
Rakan Apartments,Wadi Musa,JOD33,1
Mövenpick Nabatean Castle Hotel,Wadi Musa,JOD119,5
Dair Ghbar Apartment,Amman,JOD57,2
Real Bedouin Experience Tours & Camp,Wadi Rum,JOD50,2
Monarch Hotel Amman,Amman,JOD63,4
Public Security Hotel & Chalets,Aqaba,JOD55,4
Seven Wonders Hotel,Wadi Musa,JOD79,3
Discover the life of Wadi Rum,Wadi Rum,JOD28,0
Jerusalem Doors Hotel Apartments,Amman,JOD53,5
Comfort Hotel Suites,Amman,JOD25,3
Gedara Guesthouse: enjoy unforgettable scenes,Umm Qays,JOD104,1
Big Ben Hotel Suites,Amman,JOD30,4
