title,location,Price,category
Sour,Umm Qays,47,"['Desserts', 'Beverages']"
M.M Broasted,"Abdoun, Amman",44,['Fried Chicken']
Fruit Salad,Aţ Ţayyibah,32,"['Fruit Salads', 'Ice Cream', 'Juices']"
Bait Al Zaad,At-Tafilah,23,"['Grills', 'Mandi', 'Arabic']"
Mayar and Sama Pastries,Al Kafrayn,75,"['Pizza', 'Sandwiches ', 'Pastries']"
Mr. Manqoush Manaqesh & Roll,Al Kafrayn,70,"['Arabic', 'Manaqeesh']"
Goat Burger,Bayyūḑah,89,"['American', 'Burgers']"
Abu Rajaai Restaurant,Al Azraq ash Shamālī,23,['Arabic']
"saferona restaurant, Abdali",Abū al Lasan,49,"['Falafel', 'Breakfast', 'Egyptian']"
Al Emlaq,Al Quwayrah,12,['Speciality Store']
Kebdeh W Shata orginal,‘Ayn Amūn,46,"['Sandwiches ', 'Arabic']"
Mashawi Shekh El Mandi,Al Maşţabah,100,"['Sandwiches ', 'Grills']"
Bab Al Hara Pastries,Ash Shumaysānī,89,"['Arabic', 'Breakfast', 'Pastries']"
Heart Of Rabieh Restaurant,Dana,47,"['Grills', 'Arabic']"
Tenderelos,Shūnat Nimrīn,56,"['Burgers', 'Fast Food', 'American']"
Bait Al Cake AlTarki,Ash Shumaysānī,55,"['Desserts', 'Turkish']"
Khaled Alnatsheh & Brothers Roasteries,Al Quwayrah,94,"['Speciality Store', 'Nuts & Dried Fruit']"
CLEAN WAY,Umm Uthainah,56,['Speciality Store']
Potato Crispy,Ash Shumaysānī,87,"['Sandwiches ', 'Snacks']"
Caravan Pizza & Pastries,Madaba,75,"['Italian', 'Pastries', 'Pizza']"
96 Shawerma 7abash,Ajloun,70,['Shawarma & Doner']
Talet Lebnan Pastries,Ad Dimnah,88,"['Arabic', 'Pastries', 'Pizza']"
Daily Dose,Aţ Ţayyibah,81,"['Juices', 'Desserts']"
Lions Roar,Sowayma,78,"['Burgers', 'Salads', 'Sandwiches ']"
Awraq Al Khareef,Umm Uthainah,13,"['Shawarma & Doner', 'Snacks']"
Flowers and More,Sowayma,23,['Flowers']
Harmonex Accessories,Al Qasţal,14,['Speciality Store']
sweet corner,Wadi Rum,63,['Desserts']
Sponge Cake,Sowayma,12,['Desserts']
Sharmiran,Al Maşţabah,87,['Speciality Store']
Bait El Dayafa,At-Tafilah,19,"['Arabic', 'Mandi']"
Hareeset Habeeb Al Ein,Kufayrāt Abū Khīnan,22,['Desserts']
Hermeez Coffee House,Al Kafrayn,96,"['Beverages', 'Jordanian']"
Kunafeh 3al Hatab,Aqaba,24,['Desserts']
Kubbeh Master,Az Zarqa,96,"['Frozen Yogurt ', 'Grocery ', 'Arabic']"
Flavours of India,Al Maşţabah,87,['Indian']
The Fries Shop,Al Qasţal,37,"['American', 'Fast Food']"
Matahen Ein Ghazal,Wadi Musa,79,"['Speciality Store', 'Nuts & Dried Fruit']"
Mega Hardware,Aqaba,11,['Speciality Store']
SOS Children`s Villages Jordan,Ad Dimnah,32,['Charity']
Puffin,Kerak,37,"['Crepes and Waffles', 'Desserts']"
Bao Basha,Al Kafrayn,10,['Asian']
Flowers Shop,Al Burj,22,['Flowers']
Shawarama Snack Pizza,Dana,26,"['Shawarma & Doner', 'Sandwiches ', 'Burgers']"
